region,round,slot,cut,prefix_ms,gpu_frame_ms,tail_ms,wall_ms
2,8,2,10,3.438659906,14.812859535,11.374199867,15.165300000
2,8,3,5,2.501699924,14.899600029,12.397899628,15.254100000
2,9,0,5,2.503740072,14.846839905,12.343099594,15.184700000
2,9,1,10,3.394160032,14.871760368,11.477600098,15.169200000
2,9,2,10,3.408200026,15.139100075,11.730899811,15.482400000
2,9,3,5,2.473680019,14.860079765,12.386400223,15.182300000
2,10,0,5,2.511179924,14.853380203,12.342200279,15.172100000
2,10,1,10,3.407380104,14.904279709,11.496899605,15.217800000
2,10,2,10,3.373339891,14.867340088,11.494000435,15.236700000
2,10,3,5,2.517400026,14.983599663,12.466199875,15.275300000
2,11,0,5,2.541939974,15.232439995,12.690500259,15.542700000
2,11,1,10,3.549259901,14.803959846,11.254699707,15.127200000
2,11,2,10,3.423059940,14.885459900,11.462400436,15.199800000
2,11,3,5,2.513880014,14.822879791,12.309000015,15.121100000
2,12,0,5,2.496340036,14.902739525,12.406399727,15.205400000
2,12,1,10,3.384439945,15.200039864,11.815600395,15.550900000
2,12,2,10,3.408339977,14.819040298,11.410699844,15.132900000
2,12,3,5,2.493900061,14.856699944,12.362799644,15.168700000
2,13,0,5,2.499799967,14.854000092,12.354200363,15.165900000
2,13,1,10,3.395220041,14.850620270,11.455400467,15.168400000
2,13,2,10,3.397439957,14.860939980,11.463500023,15.162200000
2,13,3,5,2.508419991,14.906620026,12.398200035,15.187800000
2,14,0,5,2.501039982,14.842840195,12.341799736,15.143800000
2,14,1,10,3.388220072,14.889019966,11.500800133,15.200500000
2,14,2,10,3.418200016,14.944000244,11.525799751,15.256000000
2,14,3,5,2.428040028,14.859840393,12.431799889,15.311700000
2,15,0,5,2.586319923,15.102020264,12.515700340,15.459000000
2,15,1,10,3.396640062,14.985939980,11.589300156,15.306100000
2,15,2,10,3.375339985,15.093640327,11.718299866,15.579400000
2,15,3,5,2.536299944,14.826399803,12.290100098,15.227200000
3,0,0,10,3.422800064,14.911999702,11.489199638,15.249800000
3,0,1,17,4.289720058,15.228119850,10.938400269,15.571700000
3,0,2,17,4.270840168,14.957739830,10.686900139,15.360600000
3,0,3,10,3.409179926,14.838580132,11.429400444,15.178600000
3,1,0,10,3.401740074,14.875240326,11.473500252,15.191500000
3,1,1,17,4.284900188,14.953499794,10.668600082,15.270100000
3,1,2,17,4.238259792,14.862460136,10.624199867,15.273900000
3,1,3,10,3.753599882,15.169899940,11.416299820,15.523600000
3,2,0,10,3.430140018,14.925840378,11.495699883,15.233800000
3,2,1,17,4.272940159,14.865240097,10.592300415,15.188400000
3,2,2,17,4.338180065,14.849379539,10.511199951,15.188700000
3,2,3,10,3.391560078,14.885060310,11.493499756,15.205700000
3,3,0,10,3.407419920,14.850219727,11.442799568,15.180800000
