region,round,slot,cut,start_tick,end_tick,prefix_ms,gpu_frame_ms,tail_ms,wall_ms
3,0,2,27,198599484,198599484,3.823699951,12.630999565,8.807299614,12.810000000
3,0,3,14,198599484,198599500,2.871779919,12.386280060,9.514499664,12.664000000
3,1,0,14,198599500,198599515,2.921479940,12.448180199,9.526700020,12.628000000
3,1,1,27,198599515,198599531,3.727720022,12.525620461,8.797900200,12.687000000
3,1,2,27,198599531,198599546,3.808599949,12.570699692,8.762100220,12.738000000
3,1,3,14,198599546,198599546,2.943480015,12.518179893,9.574700356,12.680000000
3,2,0,14,198599546,198599562,2.944159985,12.467659950,9.523500443,12.626000000
3,2,1,27,198599562,198599578,3.733160019,12.641860008,8.908699989,12.803000000
3,2,2,27,198599578,198599593,3.657680035,12.476180077,8.818499565,12.762000000
3,2,3,14,198599593,198599609,2.956700087,12.578200340,9.621500015,12.836000000
3,3,0,14,198599609,198599609,2.785720110,12.315119743,9.529399872,12.604000000
3,3,1,27,198599609,198599625,3.706379890,12.480380058,8.774000168,12.626000000
3,3,2,27,198599625,198599640,3.723059893,12.545960426,8.822899818,12.703000000
3,3,3,14,198599640,198599656,2.947999954,12.478799820,9.530799866,12.620000000
3,4,0,14,198599656,198599671,3.122859955,12.531660080,9.408800125,12.701000000
3,4,1,27,198599671,198599687,3.696959972,12.633859634,8.936900139,12.782000000
3,4,2,27,198599687,198599687,3.701800108,12.369500160,8.667699814,12.653000000
3,4,3,14,198599687,198599703,2.938879967,12.479180336,9.540300369,12.661000000
3,5,0,14,198599703,198599718,2.932300091,12.453200340,9.520899773,12.599000000
3,5,1,27,198599718,198599734,3.671080112,12.492380142,8.821299553,12.620000000
3,5,2,27,198599734,198599750,3.776160002,12.556159973,8.779999733,12.709000000
3,5,3,14,198599750,198599750,3.077640057,12.546839714,9.469200134,12.691000000
3,6,0,14,198599750,198599765,2.936100006,12.441900253,9.505800247,12.622000000
3,6,1,27,198599765,198599781,3.718539953,12.534339905,8.815799713,12.688000000
3,6,2,27,198599781,198599796,3.806900024,12.553500175,8.746600151,12.719000000
3,6,3,14,198599796,198599812,2.893739939,12.365440369,9.471699715,12.665000000
3,7,0,14,198599812,198599812,2.931619883,12.483619690,9.552000046,12.633000000
3,7,1,27,198599812,198599828,3.740060091,12.503560066,8.763500214,12.645000000
3,7,2,27,198599828,198599843,3.754019976,12.645119667,8.891099930,12.776000000
3,7,3,14,198599843,198599859,2.906539917,12.421640396,9.515099525,12.639000000
4,0,0,27,198599968,198599984,3.694139957,12.510439873,8.816300392,12.679000000
4,0,1,44,198599984,198599984,4.587440014,12.535840034,7.948400021,12.666000000
4,0,2,44,198599984,198600000,4.575079918,12.604780197,8.029700279,12.738000000
4,0,3,27,198600000,198600015,3.767859936,12.422860146,8.654999733,12.660000000
4,1,0,27,198600015,198600031,3.809540033,12.540940285,8.731399536,12.764000000
4,1,1,44,198600031,198600046,4.570439816,12.561440468,7.991000175,12.718000000
4,1,2,44,198600046,198600062,4.510379791,12.520119667,8.009739876,12.744000000
4,1,3,27,198600062,198600062,3.675280094,12.490880013,8.815600395,12.725000000
4,2,0,27,198600062,198600078,3.735340118,12.540240288,8.804900169,12.703000000
4,2,1,44,198600078,198600093,4.561140060,12.475239754,7.914100170,12.625000000
4,2,2,44,198600093,198600109,4.571499825,12.529259682,7.957759857,12.701000000
4,2,3,27,198600109,198600125,3.764919996,12.593020439,8.828100204,12.748000000
4,3,0,27,198600125,198600125,3.749720097,12.439720154,8.689999580,12.690000000
4,3,1,44,198600125,198600140,4.589479923,12.562379837,7.972899914,12.693000000
4,3,2,44,198600140,198600156,4.520699978,12.461620331,7.940919876,12.684000000
4,3,3,27,198600156,198600171,3.740060091,12.522060394,8.781999588,12.747000000
4,4,0,27,198600171,198600187,3.696399927,12.604299545,8.907899857,12.752000000
4,4,1,44,198600187,198600187,4.466479778,12.579580307,8.113100052,12.846000000
