kind,accumulators,groups,iterations,sample,launches,start_tick,end_tick,wall_ms,event_ms,flops_per_launch,wall_tflops,event_tflops
fp32,2,64,8192,4,239,196296156,196296265,121.897000000,121.615318298,8589934592,16.842041785,16.881050810
fp32,2,256,8192,0,93,196296406,196296546,135.036000000,134.807052612,34359738368,23.663731658,23.703920576
fp32,2,256,8192,1,93,196296546,196296671,135.273000000,135.014556885,34359738368,23.622272502,23.667489950
fp32,2,256,8192,2,93,196296671,196296812,135.111000000,134.705444336,34359738368,23.650595941,23.721800436
fp32,2,256,8192,3,93,196296812,196296953,134.925000000,134.616546631,34359738368,23.683199320,23.737465774
fp32,2,256,8192,4,93,196296953,196297078,134.837000000,134.590911865,34359738368,23.698655920,23.741986914
fp32,2,1024,8192,0,28,196297234,196297390,151.042000000,150.853790283,137438953472,25.478282181,25.510069651
fp32,2,1024,8192,1,28,196297390,196297546,150.825000000,150.587829590,137438953472,25.514939149,25.555124260
fp32,2,1024,8192,2,28,196297546,196297687,151.009000000,150.739715576,137438953472,25.483849951,25.529374807
fp32,2,1024,8192,3,28,196297687,196297843,151.316000000,151.146392822,137438953472,25.432146615,25.460685005
fp32,2,1024,8192,4,28,196297843,196298000,151.065000000,150.711135864,137438953472,25.474403053,25.534216003
fp32,4,64,8192,0,171,196298140,196298281,139.525000000,139.228256226,17179869184,21.055421111,21.100297527
fp32,4,64,8192,1,171,196298281,196298421,137.932000000,137.409820557,17179869184,21.298593731,21.379531816
fp32,4,64,8192,2,171,196298421,196298546,137.257000000,136.995819092,17179869184,21.403335571,21.444140777
fp32,4,64,8192,3,171,196298546,196298687,139.484000000,139.237564087,17179869184,21.061610152,21.098886997
fp32,4,64,8192,4,171,196298687,196298828,141.321000000,141.067489624,17179869184,20.787835003,20.825192525
fp32,4,256,8192,0,52,196298984,196299125,142.725000000,142.484329224,68719476736,25.037048802,25.079338968
fp32,4,256,8192,1,52,196299125,196299265,142.737000000,142.516571045,68719476736,25.034943920,25.073665217
fp32,4,256,8192,2,52,196299265,196299406,143.266000000,143.123550415,68719476736,24.942504085,24.967329136
fp32,4,256,8192,3,52,196299406,196299546,142.955000000,142.727783203,68719476736,24.996766747,25.036560578
fp32,4,256,8192,4,52,196299546,196299687,143.322000000,143.132003784,68719476736,24.932758336,24.965854566
fp32,4,1024,8192,0,14,196299859,196300000,149.165000000,148.951354980,274877906944,25.798885109,25.835889158
fp32,4,1024,8192,1,14,196300000,196300156,151.144000000,150.897598267,274877906944,25.461088083,25.502663670
fp32,4,1024,8192,2,14,196300156,196300312,149.430000000,149.199539185,274877906944,25.753133221,25.792912755
fp32,4,1024,8192,3,14,196300312,196300453,152.193000000,151.848083496,274877906944,25.285595903,25.343031065
fp32,4,1024,8192,4,14,196300453,196300609,149.167000000,148.870803833,274877906944,25.798539202,25.849868464
fp32,8,64,8192,0,95,196300750,196300890,141.972000000,141.621948242,34359738368,22.991682479,23.048511798
fp32,8,64,8192,1,95,196300890,196301046,141.600000000,141.367355347,34359738368,23.052084357,23.090020585
fp32,8,64,8192,2,95,196301046,196301187,144.212000000,143.983718872,34359738368,22.634559849,22.670446149
